;X001_Name;X002_Street;X003_PEastcode;X004_City;X006_Country;X010_Lon;X011_Lat;X012_NoRooms;X014_CheckIn;X016_MultiLang;X022_ConfOrMeetingRooms;X025_Pool;X026_RestaurantOrCafe;X027_Fitnesscenter;X029_FreeInternet;X035_BarOrLounge;X040_FreeParking;X046_PayOptions;X052_RoomService;X055_Minibar;X098_DistanceSerraDeTramuntana;X099_DistanceCathedralLeSeu;X100_DistanceAlcudiaOldTown;X102_DistanceToBeach;X103LocationBeach
70;Be Live Adults Only Marivent;Calle Gavina 9;7015;Cala Major;Spain;2,605629;39,55311;195;3:00 PM;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;Visa; MasterCard; Maestro;FALSE;TRUE;9,520059362;3,923529276;55,24257898;0,068854038;West
72;Hotel Cort;Placa Cort 11;7001;Palma de Mallorca;Spain;2,649785;39,56977;16;12:00 PM;FALSE;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;FALSE;MasterCard; American Express; Diners Club Card; Visa;TRUE;TRUE;12,78304156;0,33318894;51,11751115;0,900524749;West
75;AC Hotel Ciutat de Palma by Marriott;Plaza Puente 3;7014;Palma de Mallorca;Spain;2,633162;39,57039;85;3:00 PM;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;TRUE;FALSE;MasterCard; American Express; Diners Club Card; Visa;TRUE;FALSE;11,3613286;1,279992956;52,20290714;2,178636873;West
77;Son Caliu Hotel & Spa Oasis;Avenida Son Caliu 8;7181;Palmanova;Spain;2,544648;39,52614;221;2:00 PM;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;MasterCard; American Express; Diners Club Card; Visa;TRUE;TRUE;7,333226768;9,934194892;61,22076976;0,10853595;West
78;Hotel Sea Club Alcudia;Avda de Mexico s/n;7410;Port d'Alcudia;Spain;3,113925;39,83492;439;2:00 PM;FALSE;FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;MasterCard; Visa;FALSE;FALSE;59,35492899;49,73931768;2,097769117;0,553547978;East
81;Sol Antillas Barbados;Calle Violeta 1;7182;Magaluf;Spain;2,533124;39,50295;757;2:00 PM;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;FALSE;American Express; Visa; MasterCard;TRUE;FALSE;9,314238408;12,13786371;63,56691605;0,09100381;West
82;Hotel Born;Sant Jaume 3;7012;Palma de Mallorca;Spain;2,647243;39,5719;36;2:00 PM;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;MasterCard; American Express; Visa;FALSE;FALSE;12,54082245;0,510767633;51,14351989;1,221910446;West
84;Hotel des Puig;Es Puig 4;7179;Deia;Spain;2,647644;39,74863;14;2:00 PM;FALSE;FALSE;TRUE;FALSE;TRUE;TRUE;TRUE;TRUE;Visa; MasterCard; Maestro;FALSE;TRUE;22,23198569;20,14827965;42,04193812;1,371398626;North
85;Sheraton Mallorca Arabella Golf Hotel;Carrer de la Vinagrella;7013;Palma de Mallorca;Spain;2,604628;39,59107;93;3:00 PM;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;MasterCard; Diners Club Card; Visa; American Express;TRUE;TRUE;8,870892557;4,526706044;52,86669458;4,287161991;West
86;Hoposa CEasta d'Or Hotel;Lluch - Alcari s/n;7179;Deia;Spain;2,653314;39,76566;41;1:00 PM;FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;MasterCard; American Express; Visa;TRUE;FALSE;24,07797986;22,04614474;41,08442604;0,138825217;North
